Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2879,2587,139,63,32,11,47
est72011,"July 1, 2011",male,Male,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",51378,38582,11540,150,536,38,532
est72011,"July 1, 2011",male,Male,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",54257,41169,11679,213,568,49,579
est72011,"July 1, 2011",totsex,Both Sexes,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",5268,4712,271,101,53,25,106
est72011,"July 1, 2011",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",104773,77714,24520,307,1085,73,1074
est72011,"July 1, 2011",totsex,Both Sexes,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",110041,82426,24791,408,1138,98,1180
est72012,"July 1, 2012",female,Female,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2505,2210,151,44,28,14,58
est72012,"July 1, 2012",female,Female,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",54312,39694,13242,179,605,35,557
est72012,"July 1, 2012",female,Female,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",56817,41904,13393,223,633,49,615
est72012,"July 1, 2012",male,Male,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2996,2669,157,75,34,11,50
est72012,"July 1, 2012",male,Male,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",52360,39192,11819,162,582,36,569
est72012,"July 1, 2012",male,Male,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",55356,41861,11976,237,616,47,619
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",5501,4879,308,119,62,25,108
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",106672,78886,25061,341,1187,71,1126
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",112173,83765,25369,460,1249,96,1234
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2592,2287,160,39,27,17,62
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",55353,40322,13576,187,637,33,598
est72013,"July 1, 2013",female,Female,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",57945,42609,13736,226,664,50,660
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",3132,2773,179,73,37,15,55
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",53355,39728,12182,158,639,38,610
est72013,"July 1, 2013",male,Male,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",56487,42501,12361,231,676,53,665
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",5724,5060,339,112,64,32,117
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",108708,80050,25758,345,1276,71,1208
est72013,"July 1, 2013",totsex,Both Sexes,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",114432,85110,26097,457,1340,103,1325
est72014,"July 1, 2014",female,Female,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2745,2418,167,51,25,17,67
est72014,"July 1, 2014",female,Female,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",56566,40983,14027,197,715,26,618
est72014,"July 1, 2014",female,Female,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",59311,43401,14194,248,740,43,685
est72014,"July 1, 2014",male,Male,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",3315,2919,198,82,40,16,60
est72014,"July 1, 2014",male,Male,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",54403,40371,12453,178,731,31,639
est72014,"July 1, 2014",male,Male,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",57718,43290,12651,260,771,47,699
